一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
重;heavy;_Thousand_ . . . _ri_. Note how the long vertical stroke doubles up to serve both elements.;;1) [[erikkusan](http://kanji.koohii.com/profile/erikkusan)] 20-3-2006(321): The first computer in the world was as **heavy** as thousand computers are now.;2) [[Immacolata](http://kanji.koohii.com/profile/Immacolata)] 21-4-2006(36): To me it looks like a car with two extra wheels, like a truck. As it is a very **heavy** vehicle I suggest an image of a huge mining truck, like the yellow Liebherr T282B. Remember that the first "wheel" is a bit bent. <http://www.primidi.com/2004/06/21.html>.;3) [[yuriehoshii](http://kanji.koohii.com/profile/yuriehoshii)] 31-5-2011(15): TRỌNG : A CAR 車 WITH DOUBLE WHEELS , TOO **HEAVY** !!! EASY , YEAH !;4) [[TsunamiEddi](http://kanji.koohii.com/profile/TsunamiEddi)] 29-3-2011(11): _1000_ （ 千 ） _computers_ ( 里 ) are so **heavy**.;5) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 9-7-2009(8): A **heavy** duty _truck_ with four-wheel drive.
動;move;Heavy . . . muscle.;;1) [[Copycatken](http://kanji.koohii.com/profile/Copycatken)] 4-7-2006(132): Even though the furniture is _heavy_ , it'll be easy to **move** with all the _muscles_ that he has.;2) [[kumakuma](http://kanji.koohii.com/profile/kumakuma)] 6-7-2008(91): His MUSCLES are so HEAVY, he barely can **move** …thats ironic.;3) [[CaLeDee](http://kanji.koohii.com/profile/CaLeDee)] 20-9-2008(50): Heavy things can be **move** d with a bit of muscle.;4) [[francajun](http://kanji.koohii.com/profile/francajun)] 30-3-2012(16): To **move** something heavy, you need muscles.;5) [[sskaggs](http://kanji.koohii.com/profile/sskaggs)] 15-11-2012(12): Everyone knows that (Force x Mass= acceleration), and as is typical when converting western expressions to eastern expressions this kanji gives us the same equation in reverse order and pictorialized: (Heavy x Muscle = **Move** ). ,-p easy peasy.
腫;tumor;Flesh . . . heavy.;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 15-2-2007(74): A **tumor** is a useless _body part_ that is nothing but _heavy_.;2) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 19-1-2010(18): The world's _heaviest_ **tumor** ever removed from a human body was a 300-pound stomach **tumor** , removed in 1991 in Stanford Hospital. Now that's a _heavy body part_!;3) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 19-1-2007(17): When _flesh_ clumps together and gets _heavy_ , it forms a **tumor**.;4) [[adrianbarritt](http://kanji.koohii.com/profile/adrianbarritt)] 14-2-2008(6): You've got a **tumor** on your _flesh_? That's _heavy_ , man.;5) [[oregum](http://kanji.koohii.com/profile/oregum)] 17-12-2011(2): The FLESH of a **TUMOR** is HEAVIER than normal FLESH.
勲;meritorious deed;_Move_ . . . _oven fire_. So as not to confuse this kanji with the general character for _merit_ (Frame 1369), you may associate the key word with military decorations and medals of distinction, both of which it is used for.;;1) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 14-4-2007(188): A **meritorious deed**? Like moving a damsel in distress out of a fire, maybe.;2) [[lunairejam](http://kanji.koohii.com/profile/lunairejam)] 9-10-2007(66): Prometheus did a meritous deed for humanity by MOVING FIRE from the gods to us humans.;3) [[TheSlakey](http://kanji.koohii.com/profile/TheSlakey)] 4-1-2009(39): Oskar Schindler is best remembered for his **meritorious deed** : moving 1200 Jews to his factory so that they could be saved from the fires of Auschwitz.;4) [[decals](http://kanji.koohii.com/profile/decals)] 3-4-2010(33): (from Raichu) The classic **meritorious deed** is saving a damsel in distress from a burning building. You hear her sweet voice crying "help! help!" from inside. But when you get inside, you see that she's quite heavy… you'll need some muscles for this deed.;5) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 21-1-2007(9): You get a medal if you do some **meritorious deed** in combat. When the shooting starts, some freeze and cannot _move_. The normal ones can move under _fire_. But the REAL medal winners are the ones that move over _flames_!. Not that is a **meritorious deed**!
働;work;_Person_ . . . _move_. Do not confuse with _labor_ (Frame 924).;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 7-3-2007(149): _Mr. T_ 's real line of **work** is for a _moving_ company.;2) [[thegeezer3](http://kanji.koohii.com/profile/thegeezer3)] 12-6-2007(60): Mr T, move. Mr Ts new exercise video called "Work it suckaz". Here is shouting "move it **work** it move **work** it!".;3) [[bihzad](http://kanji.koohii.com/profile/bihzad)] 23-4-2008(41): A person who moves something is doing **work** , physically speaking.;4) [[sgrant](http://kanji.koohii.com/profile/sgrant)] 30-12-2008(10): _Luke Skywalker_ had to **work** hard to become a jedi, being forced to _move_ an X-Wing with his mind before leaving Dagobah.;5) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 16-10-2005(8): In his poor days, _Mister T_ , thanks to his healthy build, used to **work** as a (furniture) _mover_ (Br. "removal man"). He _worked_ 7/7 days, since when he wasn't _moving_ furniture, he was _working_ out !
種;species;Wheat . . . heavy.;;1) [[shaydwyrm](http://kanji.koohii.com/profile/shaydwyrm)] 28-6-2007(158): After the whole low-carb craze, scientists developed a new low-carb **species** of _wheat_ , so that dieters could eat it without getting _heavier_.;2) [[romanrozhok](http://kanji.koohii.com/profile/romanrozhok)] 17-8-2008(155): This kanji also means "Seed." STORY: Scientists have developed a new **SPECIES** of WHEAT that has large HEAVY seeds. Now we can feed the world.;3) [[Thunderball](http://kanji.koohii.com/profile/Thunderball)] 31-8-2007(41): The _heavy wheat_ is a special type or **species** of wheat used to fatten livestock.;4) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 3-5-2008(14): This is also the word for **seed**. Wheat seeds are sorted by how heavy they are.;5) [[ziggr](http://kanji.koohii.com/profile/ziggr)] 18-1-2007(10): The hot chick from **Species** has been eating a lot of _bread_ lately, and she's really gotten _heavy_.
衝;collide;Boulevard . . . heavy.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(208): Two _heavy trucks_ in a game of chicken **collide** while racing toward each other on the _boulevard_.;2) [[CountPacula](http://kanji.koohii.com/profile/CountPacula)] 13-11-2009(41): Something _heavy_ rolling down the middle of the _boulevard_ is definitely going to end up **colliding** with something.;3) [[romanrozhok](http://kanji.koohii.com/profile/romanrozhok)] 20-2-2008(36): 衝 【しょう】 (n) (1) important point (e.g. on a route), (2) important role (responsibility, etc.), (3) (astronomical) opposition. STORY:Two HEAVY trucks are playing a game of chicken on the BOULEVARD. However, they both missed the IMPORTANT POINT: that they have to turn in different directions. Naturally, they **COLLIDE** when they both turn in the same direction. (ty dingomick).;4) [[jackhuddleston](http://kanji.koohii.com/profile/jackhuddleston)] 29-5-2008(19): Two heavy sumo wrestlers, in normal clothing while shopping, see each other at opposite sides of the boulevard and suddenly get in their stance and charge at each other until they **collide** , knocking everyone else out of the way.;5) [[sgrant](http://kanji.koohii.com/profile/sgrant)] 21-1-2009(17): The LHC (Large Hadron **Collider** ) is as wide as a _boulevard_ and so _heavy_ that machinery had to be used to assemble the pieces.
薫;fragrant;_Flowers_ . . . _heavy_ . . . _oven fire_. Do not confuse with _incense_ (Frame 977) or _perfumed_ (Frame 532).;;1) [[ergerg](http://kanji.koohii.com/profile/ergerg)] 19-12-2006(230): Do you know how they make those **FRAGRANT** air fresheners? Well you take some FLOWERS, compress them with a HEAVY weight, and put them on an OVEN FIRE for a while… (cmp [perfume](../v4/493.html) (#493 芳)).;2) [[blackstockc](http://kanji.koohii.com/profile/blackstockc)] 16-3-2008(46): The heavier the flowers the stronger their fragrance when you burn them.;3) [[squeaky_lill_mk](http://kanji.koohii.com/profile/squeaky_lill_mk)] 15-8-2010(30): These _flowers_ emit very _heavy_ **fragrance** when burned _over the fire_ (e.g. the **fragrant** jasmine flowers).;4) [[takoman](http://kanji.koohii.com/profile/takoman)] 10-6-2008(24): (クン) Steve Jobs does it again. This heavy duty mac computer has a place for flowers on top. When the computer heats up (the fire on the bottom), the flowers release a beautiful **fragrant** smell.;5) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 27-9-2008(13): As the _heavy duty truck_ smolders in _flames_ , the **fragrant** smell of _flowers_ is emitted from the pine tree air freshener still hanging from the rear-view mirror.
病;ill;Sickness . . . third class.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 24-12-2007(239): _Caveman_ got **ill** after flying _third class_. The cabin air and food got to him. (Primitive: these all got MUCH easier when using _CAVEMAN_ instead. ).;2) [[aircawn](http://kanji.koohii.com/profile/aircawn)] 5-2-2007(59): If you hang around a _third class_ hospital, you'll get **ill** with the _sickness_ everyone else has.;3) [[yorkii](http://kanji.koohii.com/profile/yorkii)] 2-7-2006(27): Note: according to this <http://www.csse.monash.edu.au/>~jwb/cgi- bin/wwwhalsod.cgi?3277_%C9%C2 the stroke order is different to that presented in the Heisig book. 4th and 5th strokes are reversed.;4) [[blaked569](http://kanji.koohii.com/profile/blaked569)] 12-7-2009(25): I have this female friend who complains about _third class_ type stuff a lot. She'll say stuff like ''That train ride made me **ill**. Seriously,'' and ''Oh my god, sitting next that dirty guy made me **ill**. Seriously.'' Sometimes I just want to kick her in the cunt.;5) [[Johnnyltn](http://kanji.koohii.com/profile/Johnnyltn)] 28-2-2007(22): Hint: The **ill** in **ill** almost looks like the roman numeral **III**. Use as a hint to 3rd class. The **ill** are more abundant in _third class_ countries ( _third world_ ).
痴;stupid;Know . . . sickness.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 8-3-2007(206): Of course _caveman_ is **stupid**. He doesn't _know_ anything. He's a _caveman_!;2) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 22-1-2006(130): This kanji shows **stupid** ity as a " _knowledge-sickness_ ". Everybody can be **stupid** at times, and it usually happens because of a lack of experience. Hence the **stupid** ity is a " _knowledge sickness_ ".;3) [[nest0r](http://kanji.koohii.com/profile/nest0r)] 6-5-2008(67): Ever since reading dingomick's story, I've had this dialogue stuck in my head when I come across the keyword: " _Caveman_ not **stupid** , _Caveman_ _know_ things.".;4) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 9-10-2008(8): You mean you didn't _know_ you'd get _sick_ living in an _icy cave_? Are you **stupid**?;5) [[ellasevia](http://kanji.koohii.com/profile/ellasevia)] 24-7-2010(6): **Stupidity** is a common _illness_ that afflicts everyone. It is said to cause a lack of _knowledge_.
痘;pox;Sickness . . . beans.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 8-3-2007(158): _Caveman_ has horrible **pox**. They look like edamame _beans_ oozing bight green paste.;2) [[rgravina](http://kanji.koohii.com/profile/rgravina)] 12-9-2006(137): **Pox** is a _sickness_ which symptoms include _bean_ -shaped bumps on the skin.;3) [[Tornadic_Indignation](http://kanji.koohii.com/profile/Tornadic_Indignation)] 12-7-2009(15): _Mr. Bean_ tries to explain to the _caveman_ that he is covered in chicken **pox** and not to come near him, but the _caveman_ misunderstands and eats him. "THIS CHICKEN **POX** NOT TASTE GOOD.".;4) [[Codexus](http://kanji.koohii.com/profile/Codexus)] 24-1-2008(8): **Pox** is a very contagious _sickness_ , you'll get it just by sitting at the same table as someone infected.;5) [[Viking101](http://kanji.koohii.com/profile/Viking101)] 26-1-2010(6): The _Geico caveman_ gets chicken **pox**. The doctor says the only cure is to take a bath in _baked beans_.
症;symptoms;Sickness . . . correct.;;1) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 4-8-2007(193): Once you have all the **symptoms** right, you have _correctly_ identified the _sickness_.;2) [[Copycatken](http://kanji.koohii.com/profile/Copycatken)] 28-6-2006(74): A _sickness_ can only be _correctly_ diagnosed if the **symptoms** are identified _correctly_.;3) [[Howdoken](http://kanji.koohii.com/profile/Howdoken)] 15-5-2008(69): One of the **SYMPTOMS** of being a CAVEMAN is you don't get much CORRECT in a test.;4) [[samesong](http://kanji.koohii.com/profile/samesong)] 8-10-2008(43): Doctor: "let's go over your **symptoms** , _caveman_., shall we? Do you have a stuffy nose?" Caveman: "correct". Doctor: "Does your throat hurt?" Caveman: "correct". Doctor: "well, caveman, it sounds like you have a cold!".;5) [[vosmiura](http://kanji.koohii.com/profile/vosmiura)] 9-12-2007(7): Checking the **symptoms** helps to identify the _correct_ _sickness_.
瘍;carbuncle;Sickness . . . piggy bank.;;1) [[gavmck](http://kanji.koohii.com/profile/gavmck)] 27-6-2010(44): The witches _piggy bank_ was cursed with a spell causing any thief who stole it's contents to fall ill. The _illness_ would result in the victim being covered from head to toe in a mass of **carbuncles**. Crime doesn't pay!;2) [[Asayoru](http://kanji.koohii.com/profile/Asayoru)] 10-11-2010(19): _Caveman_ has to open up his _piggy bank_ to receive treatment for his monstrous **carbuncle**.;3) [[Boy.pockets](http://kanji.koohii.com/profile/Boy.pockets)] 25-1-2011(5): His _sickness_ caused numerous **carbuncle** s, which when emptied by the doctors also emptied his _piggy bank_.;4) [[Puchatek](http://kanji.koohii.com/profile/Puchatek)] 9-8-2011(4): In this kanji the _Caveman_ has a _piggy bank_ -shaped **carbuncle** under his skin. Hmm, well, at least it looks kind of unique.;5) [[gfb345](http://kanji.koohii.com/profile/gfb345)] 2-6-2010(4): There goes the lonely miser, all covered in **CARBUNCLE** s. The local lore says that his hideous _ILLNESS_ is divine retribution for his avarice: the **CARBUNCLE** s are said to be shaped like _PIGGY BANK_ s!
痩;lose weight;Sickness . . . monkey . . . crotch.;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 27-7-2009(87): The _sickness_ that only allows you to eat _monkey crotch_ will surely make you **lose weight**.;2) [[At0m5k](http://kanji.koohii.com/profile/At0m5k)] 16-8-2009(34): _Caveman_ want to **lose weight** … but not know how. He sees a lean _monkey_ playing with its _crotch_. Ah! So that's how I **lose weight** , and he imitates the monkey.;3) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 17-2-2010(17): Simian Immunodeficiency Virus, the precursor to HIV, is a _sickness_ that is transmitted by carnal knowledge of a _monkey's crotch_. Naturally, it causes one to **lose weight**. _Cavemen_ used to catch it all the time.;4) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 27-3-2007(15): The poor _monkey_ obviously had a _sickness_. He was scratching his _crotch_ the whole time and when he started to **lose weight** heavily, the caretakers knew they couldn't save him anymore.;5) [[kanjihito](http://kanji.koohii.com/profile/kanjihito)] 12-5-2012(7): The most horrific way to **lose weight** is from that devastating sickness that came from a monkey's crotch.
